,Complaints,Violations,Gap
"1 5 AVENUE New York, NY 10003",1.0,3.0,-2.0
"1 ADRIAN AVENUE New York, NY 10463",54.0,52.0,2.0
"1 AUDUBON AVENUE New York, NY 10032",2.0,0.0,2.0
"1 BENNETT AVENUE New York, NY 10033",41.0,12.0,29.0
"1 BOGARDUS PLACE New York, NY 10040",47.0,23.0,24.0
"1 BOND STREET New York, NY 10012",2.0,0.0,2.0
"1 BOWERY New York, NY 10002",0.0,2.0,-2.0
"1 BROADWAY TERRACE New York, NY 10040",1.0,0.0,1.0
"1 CABRINI BOULEVARD New York, NY 10033",2.0,0.0,2.0
"1 COLUMBUS PLACE New York, NY 10019",3.0,2.0,1.0
"1 CONVENT AVENUE New York, NY 10027",1.0,1.0,0.0
"1 COOPER SQUARE New York, NY 10003",18.0,2.0,16.0
"1 DIVISION STREET New York, NY 10002",0.0,1.0,-1.0
"1 EAST 107 STREET New York, NY 10029",13.0,6.0,7.0
"1 EAST 124 STREET New York, NY 10035",5.0,11.0,-6.0
"1 EAST 2 STREET New York, NY 10003",0.0,1.0,-1.0
"1 EAST 35 STREET New York, NY 10016",6.0,9.0,-3.0
"1 ELDRIDGE STREET New York, NY 10002",1.0,3.0,-2.0
"1 GRAMERCY PARK New York, NY 10003",0.0,1.0,-1.0
"1 HAVEN PLAZA New York, NY 10009",6.0,1.0,5.0
"1 JACOBUS PLACE New York, NY 10463",68.0,151.0,-83.0
"1 MADISON STREET New York, NY 10038",9.0,1.0,8.0
"1 MAGAW PLACE New York, NY 10033",1.0,0.0,1.0
"1 MARBLE HILL AVENUE New York, NY 10463",14.0,45.0,-31.0
"1 MITCHELL PLACE New York, NY 10017",0.0,2.0,-2.0
"1 MORNINGSIDE AVENUE New York, NY 10026",0.0,1.0,-1.0
"1 MT MORRIS PARK WEST New York, NY 10027",0.0,1.0,-1.0
"1 RIVER PLACE New York, NY 10036",5.0,4.0,1.0
"1 RUTHERFORD PLACE New York, NY 10003",0.0,1.0,-1.0
"1 SEAMAN AVENUE New York, NY 10034",8.0,7.0,1.0
"1 SHERMAN AVENUE New York, NY 10040",3.0,0.0,3.0
"1 SICKLES STREET New York, NY 10040",6.0,6.0,0.0
"1 ST NICHOLAS TERRACE New York, NY 10027",5.0,4.0,1.0
"1 STUYVESANT OVAL New York, NY 10009",9.0,0.0,9.0
"1 TERRACE VIEW AVENUE New York, NY 10463",1.0,0.0,1.0
"1 TUDOR CITY PLACE New York, NY 10017",6.0,0.0,6.0
"1 UNION SQUARE SOUTH New York, NY 10003",1.0,1.0,0.0
"1 UNIVERSITY PLACE New York, NY 10003",2.0,3.0,-1.0
"1 WADSWORTH AVENUE New York, NY 10033",5.0,16.0,-11.0
"1 WARDS MEADOW LOOP New York, NY 10035",1.0,0.0,1.0
"1 WASHINGTON SQUARE VILLAGE New York, NY 10012",5.0,11.0,-6.0
"1 WEST 117 STREET New York, NY 10026",14.0,32.0,-18.0
"1 WEST 121 STREET New York, NY 10027",0.0,2.0,-2.0
"1 WEST 67 STREET New York, NY 10023",0.0,1.0,-1.0
"1 WEST STREET New York, NY 10004",0.0,1.0,-1.0
"10 9 AVENUE New York, NY 10014",0.0,2.0,-2.0
"10 ADRIAN AVENUE New York, NY 10463",7.0,3.0,4.0
"10 BEACH STREET New York, NY 10013",0.0,1.0,-1.0
"10 BEDFORD STREET New York, NY 10014",0.0,2.0,-2.0
"10 BENNETT AVENUE New York, NY 10033",0.0,1.0,-1.0
"10 BETHUNE STREET New York, NY 10014",6.0,1.0,5.0
"10 CHARLES STREET New York, NY 10014",0.0,2.0,-2.0
"10 CHRISTOPHER STREET New York, NY 10014",0.0,2.0,-2.0
"10 COLUMBUS CIRCLE New York, NY 10019",0.0,1.0,-1.0
"10 CONVENT AVENUE New York, NY 10027",0.0,1.0,-1.0
"10 DELANCEY STREET New York, NY 10002",0.0,1.0,-1.0
"10 DOWNING STREET New York, NY 10014",2.0,7.0,-5.0
"10 EAST 10 STREET New York, NY 10003",0.0,1.0,-1.0
"10 EAST 116 STREET New York, NY 10029",9.0,0.0,9.0
"10 EAST 118 STREET New York, NY 10035",1.0,1.0,0.0
"10 EAST 127 STREET New York, NY 10035",0.0,1.0,-1.0
"10 EAST 128 STREET New York, NY 10035",0.0,1.0,-1.0
"10 EAST 138 STREET New York, NY 10037",6.0,18.0,-12.0
"10 EAST 16 STREET New York, NY 10003",15.0,3.0,12.0
"10 EAST 22 STREET New York, NY 10010",0.0,1.0,-1.0
"10 EAST 28 STREET New York, NY 10016",14.0,3.0,11.0
"10 EAST 70 STREET New York, NY 10021",0.0,1.0,-1.0
"10 EAST 76 STREET New York, NY 10021",0.0,2.0,-2.0
"10 EAST 8 STREET New York, NY 10003",0.0,1.0,-1.0
"10 EAST 85 STREET New York, NY 10028",0.0,1.0,-1.0
"10 EAST 92 STREET New York, NY 10128",0.0,2.0,-2.0
"10 EAST 95 STREET New York, NY 10128",0.0,1.0,-1.0
"10 FAIRVIEW AVENUE New York, NY 10040",67.0,38.0,29.0
"10 FT WASHINGTON AVENUE New York, NY 10032",9.0,0.0,9.0
"10 GAY STREET New York, NY 10014",0.0,1.0,-1.0
"10 HILLSIDE AVENUE New York, NY 10040",208.0,42.0,166.0
"10 LEONARD STREET New York, NY 10013",0.0,2.0,-2.0
"10 MANHATTAN AVENUE New York, NY 10025",8.0,3.0,5.0
"10 MITCHELL PLACE New York, NY 10017",36.0,2.0,34.0
"10 MONROE STREET New York, NY 10002",2.0,1.0,1.0
"10 MORNINGSIDE AVENUE New York, NY 10026",0.0,1.0,-1.0
"10 MORTON STREET New York, NY 10014",1.0,0.0,1.0
"10 OVERLOOK TERRACE New York, NY 10033",32.0,5.0,27.0
"10 PARK AVENUE New York, NY 10016",2.0,0.0,2.0
"10 PARK TERRACE EAST New York, NY 10034",5.0,7.0,-2.0
"10 PERRY STREET New York, NY 10014",1.0,0.0,1.0
"10 POST AVENUE New York, NY 10034",13.0,1.0,12.0
"10 RUTGERS STREET New York, NY 10002",0.0,1.0,-1.0
"10 SPRING STREET New York, NY 10012",0.0,1.0,-1.0
"10 ST LUKES PLACE New York, NY 10014",0.0,1.0,-1.0
"10 ST MARKS PLACE New York, NY 10003",0.0,2.0,-2.0
"10 ST NICHOLAS TERRACE New York, NY 10027",4.0,29.0,-25.0
"10 UNION SQUARE EAST New York, NY 10003",0.0,3.0,-3.0
"10 WEST 103 STREET New York, NY 10025",5.0,0.0,5.0
"10 WEST 107 STREET New York, NY 10025",0.0,1.0,-1.0
"10 WEST 119 STREET New York, NY 10026",6.0,1.0,5.0
"10 WEST 127 STREET New York, NY 10027",0.0,1.0,-1.0
"10 WEST 130 STREET New York, NY 10037",0.0,2.0,-2.0
"10 WEST 135 STREET New York, NY 10037",8.0,14.0,-6.0
"10 WEST 138 STREET New York, NY 10037",9.0,0.0,9.0
"10 WEST 28 STREET New York, NY 10001",1.0,2.0,-1.0
"10 WEST 47 STREET New York, NY 10036",1.0,0.0,1.0
"10 WEST 65 STREET New York, NY 10023",0.0,1.0,-1.0
"10 WEST 75 STREET New York, NY 10023",0.0,1.0,-1.0
"10 WEST 76 STREET New York, NY 10023",1.0,0.0,1.0
"10 WEST 86 STREET New York, NY 10024",0.0,1.0,-1.0
"10 WEST 9 STREET New York, NY 10011",0.0,1.0,-1.0
"10 WEST 90 STREET New York, NY 10024",0.0,1.0,-1.0
"10 WEST 93 STREET New York, NY 10025",5.0,6.0,-1.0
"10 WEST 95 STREET New York, NY 10025",0.0,1.0,-1.0
"10-17 FDR DRIVE New York, NY 10009",0.0,6.0,-6.0
"100 1/2 WEST 130 STREET New York, NY 10027",0.0,2.0,-2.0
"100 2 AVENUE New York, NY 10003",0.0,2.0,-2.0
"100 7 AVENUE New York, NY 10011",0.0,1.0,-1.0
"100 AUDUBON AVENUE New York, NY 10032",14.0,67.0,-53.0
"100 BEEKMAN STREET New York, NY 10038",3.0,0.0,3.0
"100 BLEECKER STREET New York, NY 10012",2.0,2.0,0.0
"100 CABRINI BOULEVARD New York, NY 10033",5.0,16.0,-11.0
"100 CHARLTON STREET New York, NY 10014",1.0,3.0,-2.0
"100 CHRISTOPHER STREET New York, NY 10014",1.0,22.0,-21.0
"100 COLUMBUS AVENUE New York, NY 10023",1.0,0.0,1.0
"100 CONVENT AVENUE New York, NY 10027",29.0,70.0,-41.0
"100 DELANCEY STREET New York, NY 10002",0.0,1.0,-1.0
"100 EAST 111 STREET New York, NY 10029",21.0,0.0,21.0
"100 EAST 116 STREET New York, NY 10029",0.0,2.0,-2.0
"100 EAST 117 STREET New York, NY 10035",3.0,0.0,3.0
"100 EAST 118 STREET New York, NY 10035",19.0,0.0,19.0
"100 EAST 123 STREET New York, NY 10035",5.0,54.0,-49.0
"100 EAST 125 STREET New York, NY 10035",6.0,1.0,5.0
"100 EAST 7 STREET New York, NY 10009",1.0,2.0,-1.0
"100 EDGECOMBE AVENUE New York, NY 10030",0.0,1.0,-1.0
"100 FORSYTH STREET New York, NY 10002",5.0,0.0,5.0
"100 GRAND STREET New York, NY 10013",0.0,1.0,-1.0
"100 HAVEN AVENUE New York, NY 10032",1.0,1.0,0.0
"100 LASALLE STREET New York, NY 10027",1.0,0.0,1.0
"100 LEXINGTON AVENUE New York, NY 10016",15.0,3.0,12.0
"100 MADISON STREET New York, NY 10002",3.0,17.0,-14.0
"100 MOTT STREET New York, NY 10013",1.0,0.0,1.0
"100 ORCHARD STREET New York, NY 10002",0.0,1.0,-1.0
"100 OVERLOOK TERRACE New York, NY 10040",1.0,0.0,1.0
"100 POST AVENUE New York, NY 10034",4.0,19.0,-15.0
"100 RIVERSIDE BOULEVARD New York, NY 10069",0.0,1.0,-1.0
"100 SEAMAN AVENUE New York, NY 10034",27.0,32.0,-5.0
"100 ST MARKS PLACE New York, NY 10009",2.0,0.0,2.0
"100 ST NICHOLAS AVENUE New York, NY 10026",1.0,2.0,-1.0
"100 STANTON STREET New York, NY 10002",1.0,0.0,1.0
"100 SUFFOLK STREET New York, NY 10002",6.0,3.0,3.0
"100 TERRACE VIEW AVENUE New York, NY 10463",1.0,1.0,0.0
"100 WEST 130 STREET New York, NY 10027",2.0,20.0,-18.0
"100 WEST 18 STREET New York, NY 10011",0.0,1.0,-1.0
"100 WEST 26 STREET New York, NY 10001",0.0,2.0,-2.0
"100 WEST 67 STREET New York, NY 10023",4.0,1.0,3.0
"100 WEST 72 STREET New York, NY 10023",0.0,1.0,-1.0
"100 WEST 74 STREET New York, NY 10023",0.0,1.0,-1.0
"100 WEST 81 STREET New York, NY 10024",0.0,1.0,-1.0
"100 WEST 85 STREET New York, NY 10024",0.0,2.0,-2.0
